Wavelength [nm],Group Delay [ps]
1549.9,-0.09722
1549.92,0.29167
1549.94,1.65278
1549.96,2.43056
1549.98,7.08333
1550,8.84722
1550.02,12.13889
1550.04,12.13889
1550.06,13.11111
1550.08,14.47222
1550.1,17
1550.12,19.70833
1550.14,22.81944
1550.16,23.40278
1550.18,25.15278
1550.2,24.18056
1550.22,27.77778
1550.24,28.26389
1550.26,29.61111
1550.28,28.44444
1550.3,28.83333
1550.32,30
1550.34,28.44444
1550.36,27.09722
1550.38,24.375
1550.4,21.45833
1550.42,18.54167
1550.44,16.02778
1550.46,11.94444
1550.48,10.58333
1550.5,7.29167
1550.52,5.15278
1550.54,-2.625
1550.56,-7.86111
